"path","fileType","purpose","directBugs","securityRisks","consistencyIssues","deadUnusedPatterns","missingValidation","buildTestRelevance","needsModification","status","skipReason"
"artifacts\live-feed-smoke\20260424-172233\main.ffprobe.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-feed-smoke\20260424-172233\refresh-url.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\20260424-172233\service-health.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-172233\sub.ffprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\20260424-172233\summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-feed-smoke\service-final.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\service-final.out.log","log","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\live-feed-smoke\service.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\service.out.log","log","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\live-feed-smoke\service2.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-feed-smoke\service2.out.log","log","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\live-id-c57-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\audit-after-structured-validation.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\endpoint-surface-before.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\motion-region-closure-live-validation.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\privacy-mask-closure-live-validation.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\privacy-mask-enable-full-input-live-validation.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\privacy-mask-full-input-live-validation.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\privacy-mask-parent-exact-closure-validation.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\run-privacy-mask-closure.ps1","PowerShell script","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\run-privacy-mask-parent-exact.ps1","PowerShell script","audit artifact","user-machine path","","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\service.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\live-validation\service.out.log","log","audit artifact","user-machine path; old NetSDK stream endpoint review","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","not build critical","True","REVIEW",""
"artifacts\live-validation\structured-composite-live-validation.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\live-validation\surface-live-after-restore.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\surface-live-before.json","JSON config/data","audit artifact","","sensitive credential surface review; dangerous maintenance path review","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\live-validation\typed-refresh-10.0.0.29.json","JSON config/data","audit artifact","","","codec suffix inference review","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\phase-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-safe-read-current-846de49a-8ea8-416f-8ef2-00d6ca9a825e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-safe-read-current-afdc576f-c0ac-470c-b3a1-ac96d9a8f1db.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-safe-read-current-d8cdeff1-bdac-4d13-89d2-e94ab816f349.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-safe-read-refresh.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-by-id-refresh.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-refresh.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-dedup-after-validation-api.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-dedup-final.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-dedup-live-validated.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-dedup-post-api-probe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-dedup-postprobe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-final.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-post-merge.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report-post-scope-fix.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-report.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase1-truth-sweep-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-constraint-discovery-10.0.0.4.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-safe-write-1e56b9a3-a6bd-4a3a-b0d4-ebf04013eab7.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-safe-write-49a1d434-f84e-4634-a557-eb4e59fbef47.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-safe-write-7d14ae44-ce13-421f-8eea-90ca8b4176f2.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-safe-write-summary-final.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-safe-write-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\phase2-sessions-via-api.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-01f9099390ee407bad8e42ab228ff11a.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-03b10960c44b4da19f6c2ab324578aba.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-0458472bf6ed400981844a132d87369a.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-063dea656b1c441aa245eda4560bb0a2.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-08c9d0c7ea88444fbcc3f4254ce70c34.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-090e60bda9b04ac3812eccf8acf31a27.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-09ddeecbe7964c078acb7b29377fdc96.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-0b5d8f640ee94f7f9df37b617b90a442.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-1425e2359ec546c897c8f9886b627928.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-14ccbca7abbe47b49ec0214f0561225d.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-16da0aaf8f2c4119ac9605aef9ee1d8c.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-1a22c52c316e4620af654d38e60c8ec3.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-1a383cce1c7c4307b4c29bff4855cc00.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-1be17a213e6545a29906d08d7ed512b8.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-1ce7570655d34d43a5d1e5dcdef802a6.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-1dca18f7ffc64b3aba52a6b24877f21b.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-1ea5e7fde4de4216b253d99694376bed.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-205cb8931eca4500a412115530853ad0.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-27a499e28c004e43a49efa9578277106.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-2b107ba0ccfd4dbda52529bbf99e3f3f.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-2d7c0fa14cfd4c9b994b22fdfafc965e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-2f0e5c5754e243838f7f124e4c773a2c.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-2fd88656b1e048cb9a0a2b0ae666c816.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-316782ba4b5b4011877db1c568b90f19.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-3318c96f1a3445458af6ecce4da25682.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-34a7ca20ff884c32b23645cb55cfb2fc.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-38e233692e424ddc8f383402c2cf3e48.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-3ee8db7e4f86486593993fa805783526.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4022a15afc1e4dbaacbe3a9a0b55caea.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-413f5769a53241e08e71857ccf3f36be.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-417310ca20244f249f438ee365527aa4.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4429b9703972466b937fb8dbc9d26230.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-447e83a7fe2f4131b391a2fd13ec378e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-450a234c12534e9fb455b62af0cea0bc.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-463110c6afc14bf5977efec3b41bea36.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-48663d89231c41b0a1c9641275db72bd.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4947d78e13244c4f939677917fe90e02.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4a5b0ab2c074411aa6974b6054e3e070.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4c28cc4b4f2a4a17bb52bcd1f0a8d8f6.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-4c317de6db6d4f42b528b2e02d9a39e3.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-4fce20c33d6f4b93b62511a7c32f487b.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-50b11934d88c4d479da1cf798cf32390.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-50da25d39b9543be973a3af9aab04d12.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-51ee4887208043568c6df45f1fc56aac.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-53d45461ca9d4909823dc8f7e264405b.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-54257cc8badb4025aee785f911b06bdf.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-59b1e51ca7e4498fa23046cde1e41c11.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-5a1f8ee669fb4eb5ab2b33247198d764.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-667d3981b3d04f5fa9b0ad3e876c325a.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-6995bad8446f4603be64cb49a620b04f.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-6b5c12144f0e40238480360bc2ab2c18.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-7282bf52fef2416ba36e1ac0f86c98fe.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-75e26717d70e4c54adbee160d6a85eb9.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-7765aa87b8bf4746b862328c8a97c302.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-7a78b2500f874cecb43e6ee4b9e583c7.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-7c85e67155194020a5716244823284ba.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-7dc316c2fc414477b49b6a7670e5edb5.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-7f66fb44d1594d179df9fb1ca50a3f77.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-813ef692065c42b1b65da622965a7ea4.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-841e5ff2b4f54c7eb96192ccf3c3ccff.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-89e739f06663450ab9c7d7ce748b5493.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-8d58b8f74daf4bdfa1f3502ade12f129.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-8ea470f3c73f4a81a71627011a592155.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-95d66bcb9b724fe4949eed47cc3cff4e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-9844df2a66f14ae989d5ff3bfd9bd51e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-98784d6c4a2349928560633831356419.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-9e3ece0c85b9488e98a4b827c2b72ec7.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-af85aa7432614b4d8caf21ea411b0e36.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b2a5b423271549d595f1f4403f32a505.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b2ade6de02864e3fbb5dd66bb77d5502.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-b333be92a4f24847a2a544a8c835aa9e.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b3566e5ce8af4182b56689d71d58064d.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b4959231119f4420a519b6fa7415262b.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-b4ae55554ab94b0f8453dce13ef10610.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b702b39133614dcab7ddc32840b35d9c.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b92ab32c46fa412c9cdd4d9f5174e62f.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-b9acdc3a033440628b3634654bdb8a42.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-bc91713e1fb749dfb6cdf44af2c9b06f.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-c7344f65d58e4b40b2c257ac75e203ca.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-c73bf77a3ce04da9989cb7400ba11757.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-c81f8754ef754db58ea0e3ee3f8f50da.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-cbae6fc01a7b43bfae33fbf9012a3fcd.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-cd1788d20d3d4f85808af133fdafab74.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-cdd0e9b074224d38b1368972c13d46f2.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-cfd060df516148f68f4e2ec369494144.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-d18f9f9f1c714332ae951696931a6c41.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-d3715d1f07ca4d6a9fbac7ca093005f4.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-d4902ca5f1c54bd1818bf923862b7aa2.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-dbd7022ec9cf4cccbdf461b4be329e58.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-dd94e3adbb424e9d9165c2fec19bbcfa.json","JSON config/data","audit artifact","old NetSDK stream endpoint review","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-e88cc10d11c34f8d96c28698ac46f2bc.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-f0324df10d9c4fceb80b1e79b65901a6.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-f041d9aee4684079b5206cbf08959346.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-f061f7960f7c4113b5cc5dddd36a74bd.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-f0fff32c92b1484b84a7051f462a6de6.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-session-f6df6ee26cd54258ac09c6be4dab3456.json","JSON config/data","audit artifact","","dangerous maintenance path review","","not exhaustively proven","requires targeted review or tests when touched","build/test relevant","True","REVIEW",""
"artifacts\probe-session-feb5437af2d04d4e866056e15834acc6.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-summary-safe-write-semantic-pass.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\probe-summary-semantic-pass.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\proved-topgroup-manualstyle-results.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\proved-topgroup-rawpayload-results.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\proved-topgroup-singlefield-results.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\reclass-delta-report.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\reclass-inventory.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\reclass-probe-summary.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\reclass-truth-sweep.json","JSON config/data","audit artifact","","","","not exhaustively proven","","build/test relevant","False","OK",""
"artifacts\repo-audit-itemized.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\repo-audit-report.txt","txt","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\bosscam-after-load.png","png","audit artifact","","","","not exhaustively proven","","not build critical","False","SKIP_WITH_REASON","binary or runtime artifact"
"artifacts\runtime\bosscam-main.png","png","audit artifact","","","","not exhaustively proven","","not build critical","False","SKIP_WITH_REASON","binary or runtime artifact"
"artifacts\runtime\bosscam-selected.png","png","audit artifact","","","","not exhaustively proven","","not build critical","False","SKIP_WITH_REASON","binary or runtime artifact"
"artifacts\runtime\bosscam-window.png","png","audit artifact","","","","not exhaustively proven","","not build critical","False","SKIP_WITH_REASON","binary or runtime artifact"
"artifacts\runtime\desktop-20260420-070316.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260420-070316.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-011519.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-011519.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-011735.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-011735.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173525.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173525.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173641.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173641.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173834.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173834.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173918.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-173918.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-174015.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-174015.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-174057.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-174057.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-182328.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260423-182328.out.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
"artifacts\runtime\desktop-20260424-152716.err.log","log","audit artifact","","","","not exhaustively proven","","not build critical","False","OK",""
